# source: opsd_household_fetch
hour,demand_kwh_reference
8881,0.2052617948315167
8882,0.2309195191864147
8883,0.30789269224810845
8884,0.30202806953842704
8885,0.5556730017237322
8886,0.5278160438536621
8887,0.439846703211774
8888,1.3305362772145162
8889,1.1890522543486601
8890,0.6597700548173276
8891,0.46403827188800156
8892,0.9053511307771126
8893,0.685427779171559
8894,0.33721580579518223
8895,0.322554249021812
8896,0.5439437563047027
8897,1.0798236563845518
8898,0.993320471419334
8899,1.1267406380603366
8900,1.0211774292890707
8901,0.5036244751771012
8902,0.41785436805105197
8903,0.4765005951458663
8904,0.4545082599851442
8905,0.4530421043078072
8906,0.20892718402535929
8907,0.3445465841825341
8908,0.30202806953842704
8909,0.42738437995390927
8910,1.4624902881781818
8911,0.5241506546604863
8912,0.39219664369715407
8913,0.8664980053265148
8914,1.2484315592819764
8915,0.29323113547407154
8916,0.8518364485531446
8917,1.0079820281930376
8918,0.5351468222406806
8919,0.5168198762734677
8920,1.5357980720466997
8921,1.087154434771237
8922,0.8591672269398296
8923,0.49702677462925127
8924,0.322554249021812
8925,0.24191568676627567
8926,0.2602426327331551
8927,0.20892718402569266
8928,0.20526179483218343
8929,0.1906002380581465
8930,0.21625796241237777
8931,0.3555427517623951
8932,0.2932311354747382
8933,0.5608045465945785
8934,0.41418897885720934
8935,0.45084287079196833
8936,0.6524392764303092
8937,0.4449782480822869
8938,0.5791314925621247
8939,0.8686972388426869
8940,0.6047892169156892
8941,0.5937930493354949
8942,0.5923268936581578
8943,0.546142989820875
8944,1.3525286123755718
8945,1.466155677371691
8946,0.5021583194994308
8947,0.3885312545036448
8948,0.4251851464380704
8949,0.554939923884897
8950,0.42371899076073344
8951,0.21992335160555365
8952,0.09310088551306771
8953,0.16347635802724492
8954,0.19426562725165572
8955,0.2653741776040014
8956,0.19060023805847986
8957,0.5446768341435378
8958,0.21772411808971479
8959,0.46183903837216267
8960,1.065162099610515
8961,0.40099357776117617
8962,0.4251851464377371
8963,1.213243823025221
8964,0.4420459367272795
8965,0.2910319019582327
8966,0.30422730305493256
8967,0.33574965011784524
8968,0.45817364917865344
8969,0.7125516592024606
8970,0.4163882123737149
8971,0.6011238277225134
8972,0.8958211188739219
8973,0.8269118020377484
8974,0.3592081409559043
8975,0.22725412999290548
8976,0.1444163342211969
8977,0.1414840228661895
8978,0.16274328018807635
8979,0.22725412999290548
8980,0.251445698669133
8981,0.6084546061091984
8982,0.3518773625692192
8983,1.260893882539841
8984,0.752870940330062
8985,0.390730488019817
8986,0.6561046656238184
