# source: pvgis_fetch
hour,solar_kw_per_kwp
5468,0.0
5469,0.0
5470,0.0
5471,0.0
5472,0.0
5473,0.0
5474,0.0
5475,0.0
5476,0.00898
5477,0.10513
5478,0.23161
5479,0.36167
5480,0.43981
5481,0.44939
5482,0.6648999999999999
5483,0.71716
5484,0.6434500000000001
5485,0.56143
5486,0.42233
5487,0.23337
5488,0.06595999999999999
5489,0.0
5490,0.0
5491,0.0
5492,0.0
5493,0.0
5494,0.0
5495,0.0
5496,0.0
5497,0.0
5498,0.0
5499,0.0
5500,0.00511
5501,0.05039
5502,0.20136
5503,0.34176
5504,0.31455
5505,0.60149
5506,0.36632
5507,0.68664
5508,0.68364
5509,0.57713
5510,0.43239999999999995
5511,0.24345
5512,0.06506999999999999
5513,0.0
5514,0.0
5515,0.0
5516,0.0
5517,0.0
5518,0.0
5519,0.0
5520,0.0
5521,0.0
5522,0.0
5523,0.0
5524,0.00785
5525,0.10048
5526,0.29613999999999996
5527,0.4679
5528,0.60045
5529,0.67933
5530,0.74122
5531,0.7154299999999999
5532,0.67795
5533,0.5811000000000001
5534,0.40788
5535,0.18197
5536,0.055990000000000005
5537,0.0
5538,0.0
5539,0.0
5540,0.0
5541,0.0
5542,0.0
5543,0.0
5544,0.0
5545,0.0
5546,0.0
5547,0.0
5548,0.00053
5549,0.10382
5550,0.29
5551,0.46445
5552,0.5967
5553,0.67943
5554,0.71886
5555,0.73317
5556,0.66983
5557,0.56471
5558,0.42886
5559,0.22449000000000002
5560,0.06067
5561,0.0
5562,0.0
5563,0.0
5564,0.0
5565,0.0
5566,0.0
5567,0.0
5568,0.0
5569,0.0
5570,0.0
5571,0.0
5572,0.0072699999999999996
5573,0.10867
5574,0.31462
5575,0.50185
5576,0.63937
5577,0.71751
5578,0.77262
5579,0.7596
5580,0.67602
5581,0.5848
5582,0.42893000000000003
5583,0.2391
5584,0.05966
5585,0.0
5586,0.0
5587,0.0
5588,0.0
5589,0.0
5590,0.0
5591,0.0
5592,0.0
5593,0.0
5594,0.0
5595,0.0
5596,0.00671
5597,0.10692
5598,0.30729
5599,0.48673
5600,0.61749
5601,0.69311
5602,0.72412
5603,0.71809
5604,0.65455
5605,0.54944
5606,0.41786
