k,broker_count,ablation,seed,capacity_surcharge_mode,avg_cost_per_agent_eur,avg_cost_per_kwh_eur,load_concentration_hhi,broker_load_share_json,feeder_coefficient_of_variation,feeder_peak_to_average_ratio,feeder_mean_hourly_ramp_kwh,prosumer_self_sufficiency,total_capacity_charge_eur,capacity_fire_rate,mean_broker_surcharge_json,broker_load_share_gini,total_deferred_kwh,switching_rate,n_brokers,run_wallclock_sec,peak_rss_mb
0.5,5,capacity_disabled,20260725,synchronized,596.8827499002317,0.1674329162519381,0.3540390405449593,"{""premium_green"": 0.1919509831443409, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.35086276383320264, ""volatile_low_cost"": 0.016957181320141058, ""volatile_low_cost_dup2"": 0.44022907170231546}",0.6755578508464348,3.503830921230272,21.303598881021806,0.7339945936162178,0.0,0.0,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.0}",0.48574549036707704,0.0,0.025,5,393.29749269993044,131.57421875
0.5,5,capacity_disabled,20260726,synchronized,567.3144760819528,0.17278252058890836,0.3438608529651663,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.2643848393101044, ""regulated_utility"": 0.32044230308617716, ""volatile_low_cost"": 0.4138556573061909, ""volatile_low_cost_dup2"": 0.0013172002975274928}",0.7023434366546227,3.5909740817800664,20.419003425333123,0.7526247117880811,0.0,0.0,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.0}",0.4587345669604126,0.0,0.01,5,394.35365990013815,131.75390625
0.5,5,capacity_disabled,20260731,synchronized,577.2959093379524,0.1655993009225733,0.37163993184853694,"{""premium_green"": 0.21078481379065564, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.3057836406705155, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.4834315455388287}",0.6678009069893835,3.452687487744552,20.830124345437095,0.7459389032446258,0.0,0.0,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.0}",0.5090586926992695,0.0,0.0,5,362.3369706000667,131.3359375
0.5,5,capacity_disabled,20260729,synchronized,606.7477310583013,0.174010797878421,0.3453983685330056,"{""premium_green"": 0.2351076143811798, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.35729267234662476, ""volatile_low_cost"": 0.004556335598881156, ""volatile_low_cost_dup2"": 0.4030433776733143}",0.6768014071815931,3.50058603686567,20.86285239811282,0.7262729517485562,0.0,0.0,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.0}",0.46352923683774927,0.0,0.01,5,413.7421313999221,131.546875
0.5,5,capacity_disabled,20260727,synchronized,609.4594148570845,0.18008735571162793,0.34988475309453854,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.2428590185541598, ""regulated_utility"": 0.4411733810926495, ""volatile_low_cost"": 0.31022133789356554, ""volatile_low_cost_dup2"": 0.005746262459625036}",0.698946116075856,3.5850539429359296,20.862407283065835,0.7403722002820935,0.0,0.0,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.0}",0.47472873504769586,0.0,0.01,5,451.88715149997734,131.8046875
0.5,5,capacity_disabled,20260728,synchronized,617.8119136709618,0.17331297265801077,0.36299757362676377,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.19325828490139202, ""regulated_utility"": 0.4141576898835541, ""volatile_low_cost"": 0.39258402521505376, ""volatile_low_cost_dup2"": 0.0}",0.6705127649897468,3.4803711213518405,21.191071319763594,0.7465893372094632,0.0,0.0,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.0}",0.48835976199286435,0.0,0.0,5,481.47679340001196,131.8828125
0.5,5,capacity_disabled,20260730,synchronized,614.8583457473795,0.17798467900485174,0.35042430249351547,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.2199781926551804, ""regulated_utility"": 0.4251431884730698, ""volatile_low_cost"": 0.006679610621331253, ""volatile_low_cost_dup2"": 0.3481990082504186}",0.6911163250352087,3.5336038685005526,21.106811557847085,0.7389775983486384,0.0,0.0,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.0}",0.476722309830091,0.0,0.015,5,446.5242474998813,131.59765625
0.5,5,capacity_disabled,20260733,synchronized,620.1403688593405,0.17320380746389089,0.3536735496363649,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.20595799247687166, ""regulated_utility"": 0.3752451163664458, ""volatile_low_cost"": 0.4128075648345132, ""volatile_low_cost_dup2"": 0.00598932632216934}",0.6764536288914575,3.4990836873917335,21.492788804841375,0.7274286713477459,0.0,0.0,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.0}",0.47794836788532113,0.0,0.03,5,404.71291460003704,131.69921875
0.5,5,capacity_disabled,20260732,synchronized,576.6355385658147,0.17420122232988683,0.34436057929704494,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.2297822883363673, ""regulated_utility"": 0.3868969554073229, ""volatile_low_cost"": 0.3765982380595882, ""volatile_low_cost_dup2"": 0.006722518196721645}",0.7015528736441555,3.5889406477590304,20.46858773475993,0.7395994332668978,0.0,0.0,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.0}",0.45746785227100517,0.0,0.025,5,426.65210540010594,131.62109375
0.5,5,capacity_both,20260707,synchronized,615.9803547519001,0.18023044695313584,0.3456264513174063,"{""premium_green"": 0.24816796714207096, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.3341828235677667, ""volatile_low_cost"": 0.002492928909259717, ""volatile_low_cost_dup2"": 0.41515628038090263}",0.6131610115455673,3.2352121227583797,18.802242144929068,0.7254729764886374,11572.56896560298,0.30068493150684933,"{""premium_green"": 0.0060136986301372874, ""premium_green_dup2"": 0.0060136986301372874, ""regulated_utility"": 0.0060136986301372874, ""volatile_low_cost"": 0.0060136986301372874, ""volatile_low_cost_dup2"": 0.0060136986301372874}",0.46480098216812493,32277.4827971842,0.015,5,374.4860017001629,131.6796875
0.5,5,capacity_both,20260705,synchronized,637.4772287187787,0.18012592436099167,0.3648019974935653,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.18820908027985098, ""regulated_utility"": 0.3948833469617903, ""volatile_low_cost"": 0.41646883364066856, ""volatile_low_cost_dup2"": 0.0004387391176902722}",0.6046636988308428,3.1790539244042058,19.373236947374156,0.7372245562752934,12185.08886255969,0.3013698630136986,"{""premium_green"": 0.0060273972602742755, ""premium_green_dup2"": 0.0060273972602742755, ""regulated_utility"": 0.0060273972602742755, ""volatile_low_cost"": 0.0060273972602742755, ""volatile_low_cost_dup2"": 0.0060273972602742755}",0.49095291005017505,32996.93066279673,0.01,5,431.69192979997024,131.4453125
0.5,5,capacity_both,20260704,synchronized,651.4333738645399,0.18569550193657125,0.35067341594495127,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.2269362458029442, ""regulated_utility"": 0.39994031211522635, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.37312344208182946}",0.5970515153178975,3.1855979941788943,18.778695132744673,0.7016303647904858,11768.079184834369,0.3,"{""premium_green"": 0.0060000000000002985, ""premium_green_dup2"": 0.0060000000000002985, ""regulated_utility"": 0.0060000000000002985, ""volatile_low_cost"": 0.0060000000000002985, ""volatile_low_cost_dup2"": 0.0060000000000002985}",0.46920162652491304,32576.419667873808,0.0,5,448.743508500047,131.70703125
0.5,5,capacity_both,20260706,synchronized,614.428861125598,0.18120038821831466,0.3503844078828608,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.2191871509514977, ""regulated_utility"": 0.3743755622087471, ""volatile_low_cost"": 0.0037334245505588667, ""volatile_low_cost_dup2"": 0.4027038622891963}",0.6469506547976192,3.292777774311159,19.654643069199768,0.7488992123581378,12052.107943248615,0.30182648401826484,"{""premium_green"": 0.006036529680365601, ""premium_green_dup2"": 0.006036529680365601, ""regulated_utility"": 0.006036529680365601, ""volatile_low_cost"": 0.006036529680365601, ""volatile_low_cost_dup2"": 0.006036529680365601}",0.47041994489463224,32766.63757299334,0.01,5,431.25169249996543,131.30859375
0.5,5,capacity_both,20260710,synchronized,623.8882903434336,0.18171525169872027,0.3445034024137603,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.2516762901814313, ""regulated_utility"": 0.34855394973328546, ""volatile_low_cost"": 0.00017927050665949643, ""volatile_low_cost_dup2"": 0.3995904895786236}",0.6315116560606087,3.249868990836198,19.63649171793847,0.7771993266008901,12066.697922005405,0.30399543378995436,"{""premium_green"": 0.006079908675799398, ""premium_green_dup2"": 0.006079908675799398, ""regulated_utility"": 0.006079908675799398, ""volatile_low_cost"": 0.006079908675799398, ""volatile_low_cost_dup2"": 0.006079908675799398}",0.45902226335354923,32980.92102051926,0.005,5,415.5525919999927,131.640625
0.5,5,capacity_both,20260709,synchronized,646.4840916064069,0.18176377317814615,0.3561768056032303,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.2109293823713147, ""regulated_utility"": 0.3809452121769292, ""volatile_low_cost"": 0.40812540545175613, ""volatile_low_cost_dup2"": 0.0}",0.6015659376602187,3.1907988448197595,19.338697583202556,0.7263708718398881,12057.158411285685,0.3021689497716895,"{""premium_green"": 0.006043378995434096, ""premium_green_dup2"": 0.006043378995434096, ""regulated_utility"": 0.006043378995434096, ""volatile_low_cost"": 0.006043378995434096, ""volatile_low_cost_dup2"": 0.006043378995434096}",0.4788784092321767,33221.079573366485,0.0,5,456.5909881000407,131.70703125
0.5,5,capacity_both,20260708,synchronized,625.2861595675561,0.1811606820889982,0.3670461581723205,"{""premium_green"": 0.17957210612572336, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.4244108274791397, ""volatile_low_cost"": 0.0027385816506661155, ""volatile_low_cost_dup2"": 0.39327848474447086}",0.6257491829618733,3.249925778269376,19.365687187483832,0.7182253082581596,11888.563202818399,0.2990867579908676,"{""premium_green"": 0.005981735159817647, ""premium_green_dup2"": 0.005981735159817647, ""regulated_utility"": 0.005981735159817647, ""volatile_low_cost"": 0.005981735159817647, ""volatile_low_cost_dup2"": 0.005981735159817647}",0.4957446232208338,32630.827403642827,0.005,5,475.6323822999839,131.95703125
0.5,5,capacity_both,20260711,synchronized,647.9548997040221,0.1830093638907139,0.3587360753496965,"{""premium_green"": 0.20269405077808444, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.41720392629704167, ""volatile_low_cost"": 0.0011683665537400767, ""volatile_low_cost_dup2"": 0.3789336563711338}",0.5830952235096711,3.161946866279844,18.54779410939028,0.6858696771661942,11744.916735174822,0.2987442922374429,"{""premium_green"": 0.0059748858447491535, ""premium_green_dup2"": 0.0059748858447491535, ""regulated_utility"": 0.0059748858447491535, ""volatile_low_cost"": 0.0059748858447491535, ""volatile_low_cost_dup2"": 0.0059748858447491535}",0.48486925696459093,32392.21892039861,0.005,5,490.43990630004555,131.6015625
0.5,5,capacity_both,20260712,synchronized,618.6036024754337,0.18162415459725906,0.3638111461829229,"{""premium_green"": 0.19117350621853602, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.4134600192882802, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.3953664744931837}",0.6443502730393236,3.3056128589670664,19.6380594352943,0.745517546022159,11887.60377072873,0.3007990867579909,"{""premium_green"": 0.006015981735160119, ""premium_green_dup2"": 0.006015981735160119, ""regulated_utility"": 0.006015981735160119, ""volatile_low_cost"": 0.006015981735160119, ""volatile_low_cost_dup2"": 0.006015981735160119}",0.4889146052278974,32916.387074299084,0.0,5,483.3422557001468,131.8671875
0.5,5,capacity_both,20260715,synchronized,628.467954160119,0.17936618613066913,0.36459259047808545,"{""premium_green"": 0.19016112616585407, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.38892200295189094, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.420916870882255}",0.6235766305169589,3.2490485223187155,19.56299971473364,0.7204689499241604,12018.026799094967,0.2997716894977169,"{""premium_green"": 0.005995433789954636, ""premium_green_dup2"": 0.005995433789954636, ""regulated_utility"": 0.005995433789954636, ""volatile_low_cost"": 0.005995433789954636, ""volatile_low_cost_dup2"": 0.005995433789954636}",0.4923022978865603,33161.87258475462,0.0,5,376.64077650010586,131.8125
