k,broker_count,ablation,seed,capacity_surcharge_mode,avg_cost_per_agent_eur,avg_cost_per_kwh_eur,load_concentration_hhi,broker_load_share_json,feeder_coefficient_of_variation,feeder_peak_to_average_ratio,feeder_mean_hourly_ramp_kwh,prosumer_self_sufficiency,total_capacity_charge_eur,capacity_fire_rate,mean_broker_surcharge_json,broker_load_share_gini,total_deferred_kwh,switching_rate,n_brokers,run_wallclock_sec,peak_rss_mb,capacity_surcharge_divisor
0.5,1,capacity_both,20260716,proportional,713.2686249073627,0.21337943022061376,1.0,"{""regulated_utility"": 1.0}",0.5712090032203245,3.492113981115541,20.772108595649566,0.740396469876055,9162.452914093843,0.3095890410958904,"{""regulated_utility"": 0.015473744292237052}",0.0,78772.47292161139,0.0,1,408.0932155000046,131.48046875,2
0.5,1,capacity_both,20260706,proportional,744.448808572217,0.2133562860801426,1.0,"{""regulated_utility"": 1.0}",0.5685217731769665,3.498590760162901,21.498015515885655,0.7320503990332492,9523.16942229877,0.30730593607305934,"{""regulated_utility"": 0.015359589041095472}",0.0,81173.15401408935,0.0,1,546.9407734000124,131.7578125,2
0.5,1,capacity_both,20260718,proportional,751.8954927520789,0.21343912790004707,1.0,"{""regulated_utility"": 1.0}",0.5777027448133404,3.489664009277048,21.943848087391963,0.7411633833383287,9747.840557251793,0.307648401826484,"{""regulated_utility"": 0.01537671232876671}",0.0,82484.04115595158,0.0,1,406.3409659001045,131.33984375,2
0.5,1,capacity_both,20260714,proportional,750.9615633402652,0.2131966842196366,1.0,"{""regulated_utility"": 1.0}",0.5602470465570273,3.50258119677174,21.637845044516272,0.7358722781628122,9555.413675484855,0.30981735159817353,"{""regulated_utility"": 0.01548515981735121}",0.0,82114.10852888665,0.0,1,472.1983010000549,131.3828125,2
0.5,1,capacity_both,20260715,proportional,715.2498461593074,0.21364057699664984,1.0,"{""regulated_utility"": 1.0}",0.599028318519281,3.573866830422464,21.120866788714334,0.7331046964171626,9334.414718247797,0.3036529680365297,"{""regulated_utility"": 0.015176940639268948}",0.0,79363.50397736726,0.0,1,479.42110580019653,131.72265625,2
0.5,1,capacity_both,20260708,proportional,726.3144074121403,0.21315192659547064,1.0,"{""regulated_utility"": 1.0}",0.5626803083822599,3.514221232200951,21.165568498858022,0.7311532991026441,9269.719885800938,0.3101598173515982,"{""regulated_utility"": 0.015502283105022446}",0.0,79430.82871863614,0.0,1,570.2196810999885,131.4453125,2
0.5,1,capacity_both,20260717,proportional,748.4483502440578,0.2129674607142347,1.0,"{""regulated_utility"": 1.0}",0.5489813392721903,3.4737819178406784,21.406506450047864,0.7177065173265414,9442.049414629277,0.3084474885844749,"{""regulated_utility"": 0.015416666666666263}",0.0,80550.68664703787,0.0,1,488.14184319996275,131.59375,2
0.5,1,capacity_both,20260713,proportional,697.608064947768,0.21356488465734297,1.0,"{""regulated_utility"": 1.0}",0.58666972457258,3.4967166243090064,20.583579319761586,0.7617126193818503,9123.765943216802,0.30776255707762556,"{""regulated_utility"": 0.01538242009132379}",0.0,77538.64447321366,0.0,1,519.342146600131,131.43359375,2
0.5,1,capacity_both,20260720,proportional,735.7398803092275,0.21316433244869118,1.0,"{""regulated_utility"": 1.0}",0.5529786783802754,3.4837377631654434,20.914388135528245,0.7317377113962797,9311.170112857091,0.3099315068493151,"{""regulated_utility"": 0.015490867579908288}",0.0,79886.79147247717,0.0,1,457.9716177000664,131.43359375,2
0.5,1,capacity_both,20260721,proportional,755.2451103246007,0.21352002665164915,1.0,"{""regulated_utility"": 1.0}",0.5780586350336115,3.5013456873758138,21.767121949681204,0.733056783710182,9719.789277045676,0.30639269406392694,"{""regulated_utility"": 0.015313926940638841}",0.0,82548.15669780647,0.0,1,456.81351700006053,131.7890625,2
0.5,1,capacity_both,20260719,proportional,730.2703236683471,0.21325364607498293,1.0,"{""regulated_utility"": 1.0}",0.5622388768953996,3.53293861011062,21.182613778828397,0.7524425013545268,9322.693162766362,0.3108447488584475,"{""regulated_utility"": 0.01553652968036492}",0.0,80215.92217326757,0.0,1,511.596321699908,131.51171875,2
0.5,1,capacity_both,20260723,proportional,713.3816855966237,0.21327304316425413,1.0,"{""regulated_utility"": 1.0}",0.5679832561748962,3.5433152893878623,20.692954517046523,0.734511655431484,9087.182672248322,0.3093607305936073,"{""regulated_utility"": 0.015462328767122894}",0.0,78172.76448991934,0.0,1,436.47210020013154,131.4921875,2
0.5,1,capacity_both,20260724,proportional,746.9116664506436,0.21317045794947576,1.0,"{""regulated_utility"": 1.0}",0.5613907164191714,3.522555176064794,21.543849897726588,0.7120712065878061,9463.223408214997,0.3091324200913242,"{""regulated_utility"": 0.015450913242008736}",0.0,81556.01219228147,0.0,1,478.8677354999818,131.8828125,2
0.5,1,capacity_both,20260731,proportional,718.2812948709645,0.21380693128859504,1.0,"{""regulated_utility"": 1.0}",0.6001818251596616,3.4995600489897454,21.247159159016313,0.758491533536211,9456.068474933129,0.30547945205479454,"{""regulated_utility"": 0.01526826484018221}",0.0,79594.21335937637,0.0,1,428.2886524000205,131.81640625,2
0.5,1,capacity_both,20260732,proportional,717.9277742030525,0.21357928086100955,1.0,"{""regulated_utility"": 1.0}",0.5909805925596563,3.541672200181942,21.18271334879256,0.7413979164740796,9269.325528283987,0.3055936073059361,"{""regulated_utility"": 0.01527397260273929}",0.0,79204.6946579688,0.0,1,421.3851083999034,131.4453125,2
0.5,1,capacity_both,20260727,proportional,753.5090792027632,0.21312672379753897,1.0,"{""regulated_utility"": 1.0}",0.5664937108102781,3.5393579257860357,21.816168080152103,0.71891632058889,9607.341399045465,0.3071917808219178,"{""regulated_utility"": 0.015353881278538394}",0.0,82075.23737180031,0.0,1,499.6599064997863,131.515625,2
0.5,1,capacity_both,20260725,proportional,716.9914895961978,0.21320513197119018,1.0,"{""regulated_utility"": 1.0}",0.5681276172072807,3.5401770617943638,20.70199208246009,0.7262846956541011,9171.947792035155,0.3079908675799087,"{""regulated_utility"": 0.015393835616437947}",0.0,78398.39428903804,0.0,1,521.6616818001494,131.68359375,2
0.5,1,capacity_both,20260730,proportional,721.6669979025104,0.2135788456152901,1.0,"{""regulated_utility"": 1.0}",0.5795871934038622,3.540459440518571,21.088038539806252,0.7462147070057039,9304.716592746712,0.3087899543378995,"{""regulated_utility"": 0.0154337899543375}",0.0,79926.55185938886,0.0,1,460.73326179990545,131.6640625,2
0.5,1,capacity_both,20260726,proportional,740.4227128311937,0.21322253418000647,1.0,"{""regulated_utility"": 1.0}",0.5686570088110218,3.5348719486475457,21.68004198048447,0.7329547689491309,9457.17688254417,0.30947488584474886,"{""regulated_utility"": 0.015468036529679973}",0.0,81070.75633633055,0.0,1,519.4524925001897,131.890625,2
0.5,1,capacity_both,20260728,proportional,742.173598194815,0.21337989784183667,1.0,"{""regulated_utility"": 1.0}",0.5739365339071483,3.510150682149553,21.54801429961241,0.740389048803569,9583.904136010231,0.30856164383561646,"{""regulated_utility"": 0.015422374429223342}",0.0,81715.72389945423,0.0,1,509.01821190002374,131.7578125,2
0.5,1,capacity_both,20260722,proportional,763.7032154968103,0.21337724194379012,1.0,"{""regulated_utility"": 1.0}",0.5695729045748544,3.485921030123797,22.029540574679714,0.7282131538995845,9794.107262730244,0.307648401826484,"{""regulated_utility"": 0.01537671232876671}",0.0,83533.56608422047,0.0,1,634.8238168999087,131.5703125,2
0.5,1,capacity_both,20260733,proportional,751.2963298257974,0.2131324078927838,1.0,"{""regulated_utility"": 1.0}",0.5495241576514257,3.502460697396619,21.457474478127693,0.7212742416054131,9421.914319201964,0.3108447488584475,"{""regulated_utility"": 0.01553652968036492}",0.0,81564.19522118517,0.0,1,482.5834075000603,131.59375,2
0.5,1,capacity_both,20260729,proportional,733.2183429165354,0.21311176570620116,1.0,"{""regulated_utility"": 1.0}",0.5652623144670108,3.5557768620260193,20.89133657806849,0.6899530210096616,9290.685874693634,0.3041095890410959,"{""regulated_utility"": 0.015205479452054343}",0.0,79299.76739300498,0.0,1,545.3917953001801,131.3671875,2
0.5,1,capacity_disabled,20260705,proportional,693.0161758112904,0.19393377922552635,1.0,"{""regulated_utility"": 1.0}",0.6687899405309747,3.5060247996567755,21.158763411418793,0.7011510865918867,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,478.07202670001425,131.43359375,3
0.5,1,capacity_disabled,20260704,proportional,649.7467193394376,0.19398573239780484,1.0,"{""regulated_utility"": 1.0}",0.6863326826054117,3.5319476804894845,20.45557998036918,0.7355361341616232,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,515.5828560001682,131.71875,3
0.5,1,capacity_disabled,20260707,proportional,667.2205540913945,0.1939538967352901,1.0,"{""regulated_utility"": 1.0}",0.6836902694543493,3.515466177265209,20.838261150519465,0.7549575970276509,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,513.3547137998976,131.51171875,3
0.5,1,capacity_disabled,20260706,proportional,676.7653034075242,0.1939309797791998,1.0,"{""regulated_utility"": 1.0}",0.6800753750258252,3.504170553629757,21.143009356800377,0.7348906640414963,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,570.4058834000025,131.7890625,3
0.5,1,capacity_disabled,20260710,proportional,672.3945196047291,0.19392449136084222,1.0,"{""regulated_utility"": 1.0}",0.6715414466559639,3.500992579457727,20.632297508341075,0.7267403061928125,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,398.45369579992257,131.84375,3
0.5,1,capacity_disabled,20260709,proportional,695.8002838809097,0.19393119359580502,1.0,"{""regulated_utility"": 1.0}",0.6758379498434416,3.504581977079471,21.546980793616658,0.7229248456395994,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,446.8185799999628,131.88671875,3
0.5,1,capacity_disabled,20260716,proportional,648.616202443463,0.19401030532085328,1.0,"{""regulated_utility"": 1.0}",0.6799467452082625,3.5443540916180063,20.18723482479201,0.7426522653732859,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,414.1226224999409,131.7578125,3
0.5,1,capacity_disabled,20260712,proportional,686.5467493925996,0.1938881548005885,1.0,"{""regulated_utility"": 1.0}",0.6750388767385166,3.4824591386817354,21.270488906903367,0.7474076370586199,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,445.128521699924,131.515625,3
0.5,1,capacity_disabled,20260711,proportional,677.6729988716864,0.19388720335441864,1.0,"{""regulated_utility"": 1.0}",0.6784551893863281,3.4821923646209894,21.000839721438094,0.7143371823567679,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,481.37019089981914,131.53515625,3
0.5,1,capacity_disabled,20260708,proportional,660.9392090079676,0.19393899628325062,1.0,"{""regulated_utility"": 1.0}",0.6707704426509437,3.508462802372648,20.261305955174862,0.733952719697595,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,595.7436025000643,131.53125,3
0.5,1,capacity_disabled,20260715,proportional,649.9520581069403,0.19410902135120336,1.0,"{""regulated_utility"": 1.0}",0.709140516536293,3.5939212250574326,20.865891458604985,0.7364458388226904,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,481.1520059001632,131.91015625,3
0.5,1,capacity_disabled,20260718,proportional,683.4247073733197,0.19397547501221615,1.0,"{""regulated_utility"": 1.0}",0.6884292333188465,3.5267146059213657,21.56816267247005,0.7440330502823794,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,423.1451362001244,131.59375,3
0.5,1,capacity_disabled,20260714,proportional,683.2220252346156,0.19393781184115302,1.0,"{""regulated_utility"": 1.0}",0.6701346663283343,3.507636959669805,20.905274886099804,0.738364124057701,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,487.5039798999205,131.6875,3
0.5,1,capacity_disabled,20260713,proportional,634.0210489656951,0.19407131733279137,1.0,"{""regulated_utility"": 1.0}",0.695913890079914,3.574783297205548,20.124363964760384,0.7637531901692457,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,536.9062777999789,131.68359375,3
0.5,1,capacity_disabled,20260717,proportional,681.3468725360607,0.19384639612764748,1.0,"{""regulated_utility"": 1.0}",0.6595393144714787,3.461460297935094,20.57313605436039,0.7208649005541282,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,488.0644557001069,131.5703125,3
0.5,1,capacity_disabled,20260720,proportional,669.2657932269674,0.19387846872579484,1.0,"{""regulated_utility"": 1.0}",0.6645385155227288,3.477888922430777,20.404719196962507,0.7336978480709002,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,456.661550299963,131.43359375,3
