family_definition,family_key,family_size,n_families_in_definition,scope,source,k,broker_count,ablation,metric,test_id,is_headline_72,degenerate,p_uncorrected,p_holm,p_bh,survives_holm_alpha05,survives_bh_alpha05,alpha,n_headline_tests,n_headline_surviving_holm,n_headline_surviving_bh,worst_headline_p_uncorrected,worst_headline_p_holm,worst_headline_p_bh,bonferroni_alpha_over_family_size,notes
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,1.5,3.0,capacity_both,feeder_coefficient_of_variation,main|k=1.5|bc=3|capacity_both|feeder_coefficient_of_variation,True,False,1.9225925003052463e-33,1.538074000244197e-31,5.493121429443561e-33,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,1.5,3.0,capacity_both,feeder_peak_to_average_ratio,main|k=1.5|bc=3|capacity_both|feeder_peak_to_average_ratio,True,False,1.1380814088565952e-25,6.828488453139571e-24,2.2027382106901843e-25,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,1.5,3.0,capacity_both,load_concentration_hhi,main|k=1.5|bc=3|capacity_both|load_concentration_hhi,False,False,0.2720285609725151,1.0,0.2814088561784639,False,False,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,1.5,3.0,capacity_both,prosumer_self_sufficiency,main|k=1.5|bc=3|capacity_both|prosumer_self_sufficiency,False,False,3.802367267776946e-24,1.825136288532934e-22,6.166000974773426e-24,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,1.5,3.0,capacity_pricing_only,avg_cost_per_agent_eur,main|k=1.5|bc=3|capacity_pricing_only|avg_cost_per_agent_eur,True,False,9.882003392187015e-41,1.0079643460030755e-38,5.929202035312209e-40,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,1.5,3.0,capacity_pricing_only,feeder_coefficient_of_variation,main|k=1.5|bc=3|capacity_pricing_only|feeder_coefficient_of_variation,True,False,1.9225925003052463e-33,1.538074000244197e-31,5.493121429443561e-33,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,1.5,3.0,capacity_pricing_only,feeder_peak_to_average_ratio,main|k=1.5|bc=3|capacity_pricing_only|feeder_peak_to_average_ratio,True,False,1.1380814088565952e-25,6.828488453139571e-24,2.2027382106901843e-25,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,1.5,3.0,capacity_pricing_only,load_concentration_hhi,main|k=1.5|bc=3|capacity_pricing_only|load_concentration_hhi,False,False,0.2720285609725151,1.0,0.2814088561784639,False,False,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,1.5,3.0,capacity_pricing_only,prosumer_self_sufficiency,main|k=1.5|bc=3|capacity_pricing_only|prosumer_self_sufficiency,False,False,3.802367267776946e-24,1.825136288532934e-22,6.166000974773426e-24,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
F1_main_sweep_primary_120,main_sweep_primary_120,120,1,main_sweep,main_sweep_real,1.5,5.0,capacity_both,avg_cost_per_agent_eur,main|k=1.5|bc=5|capacity_both|avg_cost_per_agent_eur,True,False,2.0303347991860886e-40,2.0303347991860887e-38,1.1074553450105936e-39,True,True,0.05,,,,,,,0.0004166666666666667,shipped primary family: the main D8 sweep's 120 real (non-degenerate) paired tests; reference row set
