scope,k,broker_count,ablation,metric,metric_label,n_seeds,paired_mean_diff,paired_mean_pct_change,paired_dz,p_uncorrected,p_holm,p_bh,survives_holm_alpha05,survives_bh_alpha05,ci95_t_lo,ci95_t_hi,ci95_boot_lo,ci95_boot_hi,ci_disagreement_flag,ci_disagreement_detail,ci_width_ratio,degenerate,correction_family,correction_family_size,family_size_primary,family_size_alternative,family_size_monopoly_secondary,bootstrap_seed,n_bootstrap,alpha,metric3_sign_convention,notes
main_sweep,1.0,3,capacity_pricing_only,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30,-0.3458248233405768,-9.838330616963411,-5.5833613814211365,1.2806412764261616e-23,5.634821616275111e-22,1.9702173483479407e-23,True,True,-0.3689530255931397,-0.3226966210880139,-0.3679282895619353,-0.3239516796982481,False,,1.05184107298187,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
main_sweep,1.0,3,capacity_pricing_only,feeder_coefficient_of_variation,Feeder coefficient of variation,30,-0.0488953835258095,-7.218444993219411,-22.24639495148878,7.431718354126906e-41,7.728987088291982e-39,4.9544789027512704e-40,True,True,-0.049716093411950234,-0.04807467363966877,-0.04967570822735307,-0.048130038438727034,False,,1.0619472440750364,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
main_sweep,1.0,3,capacity_pricing_only,prosumer_self_sufficiency,Prosumer self-sufficiency,30,-0.0009619116643579099,-0.13188494058903996,-6.345199011437585,3.451484146824947e-25,1.9328311222219704e-23,6.275425721499903e-25,True,True,-0.0010185188279540386,-0.0009053045007617812,-0.0010162354444719825,-0.0009094057765964004,False,,1.0597648522516339,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,1.0,3,capacity_both,avg_cost_per_agent_eur,Avg cost per agent (EUR/year),30,35.679498552255474,5.967795983440526,31.621182544054918,2.807093004138459e-45,3.200086024717843e-43,4.2106395062076883e-44,True,True,35.25816884084122,36.100828263669726,35.28242204802426,36.08936611256271,False,,1.044260017341454,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,1.0,3,capacity_both,load_concentration_hhi,Load concentration HHI,30,3.080360011014268e-05,0.008409569026471565,0.3244442882927819,0.08605076539634328,1.0,0.09387356225055629,False,False,-4.648567582173129e-06,6.625576780245849e-05,4.894657553260278e-06,6.886914917857858e-05,True,"zero-exclusion disagreement (t excludes zero=False, bootstrap excludes zero=True)",1.1083219824535626,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,1.0,3,capacity_both,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30,-0.3458248233405768,-9.838330616963411,-5.5833613814211365,1.2806412764261616e-23,5.634821616275111e-22,1.9702173483479407e-23,True,True,-0.3689530255931397,-0.3226966210880139,-0.3678243322855162,-0.32412411467976476,False,,1.0584936881192544,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
main_sweep,1.0,3,capacity_both,feeder_coefficient_of_variation,Feeder coefficient of variation,30,-0.0488953835258095,-7.218444993219411,-22.24639495148878,7.431718354126906e-41,7.728987088291982e-39,4.9544789027512704e-40,True,True,-0.049716093411950234,-0.04807467363966877,-0.04966393902178328,-0.048123869011586905,False,,1.0658085420883996,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
main_sweep,1.0,3,capacity_both,prosumer_self_sufficiency,Prosumer self-sufficiency,30,-0.0009619116643579099,-0.13188494058903996,-6.345199011437585,3.451484146824947e-25,1.9328311222219704e-23,6.275425721499903e-25,True,True,-0.0010185188279540386,-0.0009053045007617812,-0.001016819958552938,-0.000909933270849291,False,,1.0591995095418658,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,1.0,5,capacity_pricing_only,avg_cost_per_agent_eur,Avg cost per agent (EUR/year),30,35.213524072029756,5.872714462902761,27.760494033413657,1.2203451354356745e-43,1.3179727462705284e-41,1.046010116087721e-42,True,True,34.73986730030414,35.68718084375537,34.76800189283237,35.646808244613815,False,,1.0779548207985934,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,1.0,5,capacity_pricing_only,load_concentration_hhi,Load concentration HHI,30,-0.0004420988673950632,-0.12331370763464057,-0.3648628228469143,0.0551220049087091,0.7717080687219274,0.06124667212078789,False,False,-0.0008945495414621927,1.0351806672066353e-05,-0.0009080041352616474,-6.122430659499929e-05,True,"zero-exclusion disagreement (t excludes zero=False, bootstrap excludes zero=True)",1.0686382900253186,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
