k,broker_count,ablation,seed,avg_cost_per_agent_eur,avg_cost_per_kwh_eur,load_concentration_hhi,broker_load_share_json,feeder_coefficient_of_variation,feeder_peak_to_average_ratio,feeder_mean_hourly_ramp_kwh,prosumer_self_sufficiency,total_capacity_charge_eur,capacity_fire_rate,mean_broker_surcharge_json,broker_load_share_gini,total_deferred_kwh,switching_rate,n_brokers,run_wallclock_sec,peak_rss_mb
1.0,3,capacity_pnl_only,20260704,548.5152012326321,0.17678501467996846,0.35214656669019545,"{""premium_green"": 0.22140969173740915, ""regulated_utility"": 0.3926775375160365, ""volatile_low_cost"": 0.3859127707465544}",0.7806841703406578,9.965232115090377,33.0120005911005,0.7665171203710093,8755.102974105826,0.1421232876712329,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.11417856385241842,0.0,0.0,3,454.3592247000197,132.44921875
1.0,3,capacity_pnl_only,20260705,537.7241598734514,0.1676512226945865,0.37164589937530657,"{""premium_green"": 0.17433932156077986, ""regulated_utility"": 0.3987960531195467, ""volatile_low_cost"": 0.42686462531967356}",0.7881799229822823,9.891835580336233,34.41367663916837,0.7721599468314457,9015.676369378236,0.14121004566210046,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.16835020250592936,0.0,0.0,3,434.9138083999278,132.05078125
1.0,3,capacity_pnl_only,20260713,519.8715957198957,0.16918239044673855,0.3533457285170421,"{""premium_green"": 0.22764658614927666, ""regulated_utility"": 0.3458166871769243, ""volatile_low_cost"": 0.4265367266737992}",0.8113996697738719,10.07164832511833,33.81139656583642,0.7915562448911481,8779.73320319339,0.14235159817351598,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.13259342701634846,0.0,0.0,3,399.8754538000794,132.265625
1.0,3,capacity_pnl_only,20260711,529.6434750251764,0.16834025165788916,0.3671110619540594,"{""premium_green"": 0.18543681809946047, ""regulated_utility"": 0.3852854572759028, ""volatile_low_cost"": 0.42927772462463676}",0.7832083802935769,10.063740815665382,33.66304190751069,0.7586601302747235,8849.022314965634,0.14235159817351598,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.16256060435011754,0.0,0.01,3,420.4325269999681,132.1171875
1.0,3,capacity_pnl_only,20260707,540.8175771813937,0.17241277519833895,0.3463129109763947,"{""premium_green"": 0.24069549029979986, ""regulated_utility"": 0.37234052796094896, ""volatile_low_cost"": 0.3869639817392511}",0.7864284652833881,10.0739857280305,33.607135041934434,0.7846910527910449,8848.154247833465,0.14246575342465753,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.0975123276263008,0.0,0.01,3,451.66819710005075,132.3828125
1.0,3,capacity_pnl_only,20260710,523.900607075402,0.1693375654826732,0.3635314090028645,"{""premium_green"": 0.19530567636643553, ""regulated_utility"": 0.3738811773978851, ""volatile_low_cost"": 0.43081314623567935}",0.7995781816702112,9.882058413755518,33.595065855390565,0.8045866086982658,8774.975331927064,0.1415525114155251,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.15700497991282947,0.0,0.0,3,435.7414033000823,132.1015625
1.0,3,capacity_pnl_only,20260709,562.1330142614156,0.17466738507771287,0.34910057844840636,"{""premium_green"": 0.23085789919102018, ""regulated_utility"": 0.38734802817625075, ""volatile_low_cost"": 0.3817940726327291}",0.7776036778760426,9.844668064987104,34.14222461267442,0.7805061004292917,9044.664445069557,0.1421232876712329,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.10432675265682056,0.0,0.0,3,458.8014161000028,132.1328125
1.0,3,capacity_pnl_only,20260715,520.2416888818464,0.17405344750092988,0.36172654564637197,"{""premium_green"": 0.19979507614396735, ""regulated_utility"": 0.4287774781728136, ""volatile_low_cost"": 0.37142744568321906}",0.80069548853267,10.152674392394875,32.511214039561814,0.7490745206663154,8465.973667221615,0.1408675799086758,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.15265493468589741,0.0,0.01,3,405.8152857000241,132.12890625
1.0,3,capacity_pnl_only,20260714,522.4586829790796,0.1715068821642357,0.35549047314487425,"{""premium_green"": 0.21275950319417972, ""regulated_utility"": 0.38039022497317426, ""volatile_low_cost"": 0.406850271832646}",0.7873736513141675,9.84341997609682,32.622908287932034,0.7847094445492611,8594.72114832187,0.14223744292237442,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.1293938457589774,0.0,0.005,3,446.75996569998097,132.48046875
1.0,3,capacity_pnl_only,20260712,516.3086320002435,0.1668294358847681,0.3879829500171664,"{""premium_green"": 0.14252191848303453, ""regulated_utility"": 0.43298890123111206, ""volatile_low_cost"": 0.42448918028585353}",0.8117434982687549,10.108351326467373,34.08328485332797,0.7634443546951578,8778.525131247094,0.1404109589041096,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.19364465516538498,0.0,0.0,3,516.8795467000455,132.42578125
1.0,3,capacity_pnl_only,20260708,546.8010816500865,0.17724808015599178,0.37577618105551275,"{""premium_green"": 0.19026764207604546, ""regulated_utility"": 0.4814858882403051, ""volatile_low_cost"": 0.3282464696836495}",0.7861725915861993,10.052351618844794,33.03768829005514,0.7432637068819771,8687.80641070867,0.14075342465753424,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.19414549744284004,0.0,0.01,3,543.2390541000059,132.09765625
